Airline,FlightNum,Arrive/Departure,Aircraft,ScheduledTime,PassengerCapacity,PassengerBooked,PassengerTransfer,GateNum,FlightStatus
BBB,1,1,747,5:00,415,215,13,G1,On Time
BBB,2,1,747,7:00,415,334,15,G1,On Time
BBB,3,1,A380,13:00,525,387,36,G1,On Time
BBB,4,1,A380,16:00,525,456,47,G1,On Time
BBB,5,1,A380,22:00,525,286,52,G1,On Time
BBB,901,0,747,3:20,415,234,47,G91,On Time
BBB,902,0,747,5:20,415,346,14,G91,On Time
BBB,903,0,A380,11:20,525,367,4,G91,On Time
BBB,904,0,A380,14:20,525,387,36,G91,On Time
BBB,905,0,A380,20:20,525,478,25,G91,On Time
